"Date";"D0";"Value"
"2009-05";"K";"5.21101401"
"2009-05";"OBB";"3.01304615"
"2009-05";"MBB";"1.1257"
"2009-05";"FH";"2.28324602"
"2009-05";"FI";"1.73357581"
"2009-06";"K";"4.94107826"
"2009-06";"OBB";"3.08343808"
"2009-06";"MBB";"1.0864"
"2009-06";"FH";"2.36787186"
"2009-06";"FI";"1.86263529"
"2009-07";"K";"4.9601406"
"2009-07";"OBB";"3.08040919"
"2009-07";"MBB";"1.1401"
"2009-07";"FH";"2.34240605"
"2009-07";"FI";"1.80100909"
"2009-08";"K";"5.26473157"
"2009-08";"OBB";"3.04354682"
"2009-08";"MBB";"1.1448"
"2009-08";"FH";"2.3626305"
"2009-08";"FI";"1.7084331"
"2009-09";"K";"4.92649562"
"2009-09";"OBB";"3.07931342"
"2009-09";"MBB";"1.0903"
"2009-09";"FH";"2.3132654"
"2009-09";"FI";"1.80879862"
"2009-10";"K";"5.05912836"
"2009-10";"OBB";"3.04819117"
"2009-10";"MBB";"1.0791"
"2009-10";"FH";"2.32873421"
"2009-10";"FI";"1.71965914"
"2009-11";"K";"5.0101"
"2009-11";"OBB";"3.0301"
"2009-11";"MBB";"1.1635"
"2009-11";"FH";"2.3519"
"2009-11";"FI";"1.6461"
"2009-12";"K";"4.868"
"2009-12";"OBB";"3.0549"
"2009-12";"MBB";"1.2281"
"2009-12";"FH";"2.3344"
"2009-12";"FI";"1.8618"
"2010-01";"K";"4.894"
"2010-01";"OBB";"3.0232"
"2010-01";"MBB";"1.178"
"2010-01";"FH";"2.3015"
"2010-01";"FI";"1.7892"
"2010-02";"K";"4.9367"
"2010-02";"OBB";"3.0524"
"2010-02";"MBB";"1.1445"
"2010-02";"FH";"2.2757"
"2010-02";"FI";"1.6833"
"2010-03";"K";"5.1465"
"2010-03";"OBB";"2.9857"
"2010-03";"MBB";"1.1618"
"2010-03";"FH";"2.2443"
"2010-03";"FI";"1.7596"
"2010-04";"K";"4.6722"
"2010-04";"OBB";"3.0423"
"2010-04";"MBB";"1.1963"
"2010-04";"FH";"2.2895"
"2010-04";"FI";"1.6612"
"2010-05";"K";"4.7884"
"2010-05";"OBB";"3.0437"
"2010-05";"MBB";"1.1139"
