Durchschnittlicher Mietpreis1) pro m2 in Franken nach Zimmerzahl und Kanton;;;;;;;;;;;;;;T 09.03.03.05;;;;;;;;;
2023;;;;;;;;;;;;;;;;;;;;;;;
;Bewohnte Mietwohnungen mit … Zimmer(n);;;;;;;;;;;;;;;;;;;;;;
;Total;;1;;2;;3;;4;;5;;6+;;;;;;;;;;
;"Durchschnittl.
Mietpreis 
pro m2";"Vertrauens-intervall: 
± (in Fr.)";"Durchschnittl.
Mietpreis 
pro m2";"Vertrauens-intervall: 
± (in Fr.)";"Durchschnittl.
Mietpreis 
pro m2";"Vertrauens-intervall: 
± (in Fr.)";"Durchschnittl.
Mietpreis 
pro m2";"Vertrauens-intervall: 
± (in Fr.)";"Durchschnittl.
Mietpreis 
pro m2";"Vertrauens-intervall: 
± (in Fr.)";"Durchschnittl.
Mietpreis 
pro m2";"Vertrauens-intervall: 
± (in Fr.)";"Durchschnittl.
Mietpreis 
pro m2";"Vertrauens-intervall: 
± (in Fr.)";;;;;;;;;
Schweiz;17,4 ;0,0 ;21,9 ;0,4 ;19,5 ;0,1 ;17,5 ;0,1 ;16,4 ;0,1 ;16,1 ;0,1 ;16,6 ;0,3 ;;;;;;;;;
Zürich;20,7 ;0,1 ;27,4 ;1,0 ;23,8 ;0,3 ;20,8 ;0,2 ;19,2 ;0,1 ;18,3 ;0,3 ;18,7 ;0,8 ;;;;;;;;;
Bern;15,7 ;0,1 ;18,9 ;1,1 ;17,1 ;0,3 ;15,8 ;0,2 ;15,2 ;0,2 ;14,7 ;0,4 ;15,1 ;0,9 ;;;;;;;;;
Luzern;16,4 ;0,1 ;21,9 ;1,5 ;19,3 ;0,4 ;16,6 ;0,2 ;15,5 ;0,1 ;14,9 ;0,3 ;15,3 ;0,8 ;;;;;;;;;
Uri;13,5 ;0,5 ;(15,8) ;(5,6) ;(15,7) ;(1,8) ;14,3 ;1,0 ;13,2 ;0,6 ;(11,7) ;(1,4) ;(11,4) ;(1,8) ;;;;;;;;;
Schwyz;17,8 ;0,3 ;(20,4) ;(3,2) ;19,9 ;1,3 ;18,6 ;0,6 ;16,8 ;0,4 ;16,9 ;0,9 ;(16,7) ;(3,2) ;;;;;;;;;
Obwalden;15,0 ;0,6 ;(16,9) ;(9,1) ;17,6 ;2,4 ;14,9 ;0,8 ;14,5 ;1,1 ;(14,4) ;(1,5) ;(13,3) ;(3,3) ;;;;;;;;;
Nidwalden;16,1 ;0,6 ;(17,1) ;(6,9) ;19,7 ;2,1 ;16,3 ;1,0 ;15,8 ;0,8 ;14,6 ;1,7 ;(13,1) ;(1,5) ;;;;;;;;;
